IntStdWv,Sample,Si29_CPS,Ca_ppm_m43,43CaO wt%,Ca_ppm_m44,44CaO wt%,Ti_ppm_m49,49TiO2,Ga_ppm_m69,Ga_ppm_m71,Rb_ppm_m85,Sr_ppm_m88,Y_ppm_m89,Zr_ppm_m90,Zr_ppm_m91,Nb_ppm_m93,Cs_ppm_m133,Ba_ppm_m137,La_ppm_m139,Ce_ppm_m140,Pr_ppm_m141,Nd_ppm_m146,Sm_ppm_m147,Eu_ppm_m153,Gd_ppm_m157,Tb_ppm_m159,Dy_ppm_m163,Ho_ppm_m165,Er_ppm_m166,Tm_ppm_m169,Yb_ppm_m172,Lu_ppm_m175,Hf_ppm_m178,Ta_ppm_m181,Pb_ppm_m208,Th_ppm_m232,U_ppm_m238
36.2,UA4024 - 20,1500000,4540,0.64,3780,0.53,827,0.14,37,14.1,113.1,50.8,14.2,92.2,90,8.4,2.9,769,23.5,45.3,5.1,15.6,2.8,0.1,1.5,0.2,2.2,0.6,1.5,0.3,1.4,0.3,2.8,0.7,14.8,10.8,4.6
36.2,UA4024 - 21,1630000,4540,0.64,4250,0.59,979,0.16,38.1,14.3,103.3,61.3,13.2,96.8,103.8,6.4,2.3,814,21.5,41.8,4.6,13,2.6,0.2,2.4,0.3,2.2,0.5,1.4,0.2,1.1,0.3,3.8,0.7,12.3,9.7,4.4
,AVE,1590476,4266,0.6,4288,0.6,951,0.16,39.4,14.7,104.2,60.2,13.5,93.5,96.2,7.5,2.5,814.5,22.4,43.5,4.4,14.6,2.4,0.3,2,0.3,2,0.5,1.4,0.3,1.9,0.3,3,0.7,12.4,10.5,4.7
,STDEV,200503,599,0.08,335,0.05,66,0.01,2.1,1.3,5,6.1,1.1,5.7,6.9,0.6,0.2,35.6,1.1,2.4,0.3,1.3,0.6,0.1,0.6,0.1,0.4,0.1,0.2,0.1,0.5,0,0.4,0.1,1.4,0.9,0.8
,Major element averages,,,0.61,,0.61,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.05,,0.05,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.2,UT1143 - 1,1550000,3310,0.46,3100,0.43,636,0.11,36.5,15.3,95.9,32.7,19.1,81.3,78.3,11.1,2.2,744,28.8,56.4,5.3,20,2.6,0.1,1.7,0.5,2.5,0.7,2,0.3,2.2,0.6,3,0.8,13.1,10.7,4.8
36.2,UT1143 - 2,1495000,2960,0.41,3180,0.44,669,0.11,38.8,14.7,98.9,31.2,20.3,82.9,80.2,10.9,2,740,28.1,57.3,6,20,3.2,0.2,2.5,0.5,3.1,0.6,1.9,0.3,3.4,0.4,3.3,0.9,12.9,10.2,4.5
36.2,UT1143 - 3,1516000,3420,0.48,3240,0.45,683,0.11,37.5,14.9,97.8,33.1,19.2,81.3,75.2,11.2,2.2,722,29.1,59.1,6.6,19,3.2,0.2,3.6,0.6,2.7,0.7,2,0.4,2.5,0.5,2.5,1.1,14.4,11.1,4.8
36.2,UT1143 - 4,1508000,3160,0.44,2920,0.41,651,0.11,36.8,13.7,95.1,31.8,18.7,80.6,81,10.3,2.4,720,28.3,57.1,5.6,20.3,3.7,0.4,2.1,0.4,3,0.7,1.9,0.3,3,0.4,3.3,1.1,13.2,11,4.7
36.2,UT1143 - 5,1740000,3100,0.43,3220,0.45,670,0.11,38.6,15.8,98.4,32.3,21.3,86.4,88,11.1,2.5,750,30.5,63.7,6.4,18.9,4,0.2,2.8,0.4,2.4,0.7,1.9,0.5,2.8,0.6,2.6,0.9,12.8,11.5,4.2
36.2,UT1143 - 6,1486000,3210,0.45,2930,0.41,636,0.11,35.6,15.9,95.3,31.6,19.7,80,79.9,10.3,2.4,737,29.1,54.9,5.6,19.4,3.5,0.3,2.3,0.5,2.4,0.7,2.3,0.4,3.2,0.4,3.1,0.9,13.2,10.7,4.8
36.2,UT1143 - 7,1584000,2850,0.4,3260,0.46,662,0.11,40.6,15.1,99.1,33.2,20.2,82.5,80.3,10.1,2.5,758,31.8,58.7,6.1,19.3,3.2,0.3,2.9,0.5,2.8,0.7,2.5,0.5,2.7,0.4,3.5,1.2,13.8,11.7,4.3
36.2,UT1143 - 8,1530000,3340,0.47,3160,0.44,668,0.11,40.7,17.6,101.1,31.7,20.7,83.1,82,11.1,2.5,744,30.4,57.8,6,21.6,1.9,0.3,2.3,0.4,3,0.9,2.8,0.5,3.4,0.5,3.5,1,16,11.2,4.5
36.2,UT1143 - 9,1523000,3430,0.48,2980,0.42,670,0.11,38.1,15.2,97.7,33.7,20.1,80.7,82.2,11.2,2,735,29.6,60,6,19.7,2.9,0.3,2.5,0.4,2.7,0.8,2.1,0.4,2.9,0.3,2.8,1.1,13.1,10.7,4.4
36.2,UT1143 - 11,1560000,3370,0.47,3220,0.45,673,0.11,37.6,15.4,97.7,32.5,20.8,82.2,84.6,11.1,2.5,750,30,59.7,6,20.8,3.6,0.3,2.5,0.4,2.8,0.6,2,0.4,3.2,0.5,3.8,1,12.4,10.6,4.8
36.2,UT1143 - 12,1480000,3030,0.42,3100,0.43,692,0.12,37.4,16.8,102.4,33.3,19.5,79.2,78.7,11.4,2.5,732,29.8,57,5.7,20.7,3.2,0.2,2.7,0.4,2.5,0.6,1.7,0.5,2.5,0.3,3,1,13.2,10.4,4.4
36.2,UT1143 - 13,1438000,2970,0.42,3070,0.43,660,0.11,36.9,15.5,97.2,32.4,20.2,80.4,81.7,10.7,2.3,746,30.7,58,6.3,19.6,2.8,0.3,2.8,0.4,3.2,0.8,2,0.4,2.8,0.4,3.4,0.9,13.1,11,4.5
36.2,UT1143 - 14,1504000,3090,0.43,3090,0.43,673,0.11,38.8,14.8,97.9,29.9,19.4,82.2,84.3,10.1,2.1,718,30.5,58.1,5.5,18.6,4.6,0.3,2.9,0.5,2.9,0.7,2.4,0.3,2.4,0.5,3.8,1.1,12.4,11.1,4.5
36.2,UT1143 - 15,1110000,3700,0.52,3130,0.44,772,0.13,40.5,19.5,101,31.4,18.4,86,90.5,10.4,2.3,779,28.3,56,6.1,19,2.1,0.4,1.6,0.5,2.6,0.7,1.9,0.3,2.4,0.3,3,1,29,10.4,4.6
36.2,UT1143 - 16,1237000,3620,0.51,3240,0.45,662,0.11,35.1,15.9,96.3,33.2,20.7,80.4,90,10.9,2.4,729,29.9,59.8,5.4,19.4,3.4,0.2,3.3,0.3,2.9,0.5,2.6,0.7,2.8,0.3,3.2,0.9,11.8,11.3,4.4
36.2,UT1143 - 17,1212000,3490,0.49,3210,0.45,618,0.1,37.9,15.8,97.8,31.2,19.7,81.7,91,10.5,2.5,694,29.7,59,5.5,18.4,3,0.2,2.5,0.4,3.3,0.6,2.4,0.4,2.8,0.6,2.8,1,13,12.1,5.2
36.2,UT1143 - 18,1176000,3420,0.48,3250,0.45,667,0.11,35.1,14.2,94.4,31.6,19.5,80.9,83.1,10.4,2.2,689,30.6,58.8,5.6,20.2,3.9,0.1,3.1,0.5,2.8,0.7,2.5,0.6,2.9,0.5,3.7,1,12.5,11.7,4.8
36.2,UT1143 - 19,1181000,2930,0.41,3170,0.44,643,0.11,36.6,15,100,30.2,21,81.3,79.5,10.8,2.3,710,31,61.1,6.1,17.9,2.6,0.2,3.1,0.4,2.6,0.5,2.1,0.5,2.7,0.4,3.5,1,12.4,12.1,5.2
36.2,UT1143 - 20,1149000,3070,0.43,3420,0.48,669,0.11,35.5,13.8,99.8,31.7,21.4,82.7,79.7,10.1,2.1,725,31.4,59.2,6,18.3,3.8,0.2,3,0.5,2.7,0.7,2.5,0.4,2.1,0.4,3.1,0.9,13.2,12.3,4.9
36.2,UT1143 - 21,670000,2900,0.41,4120,0.58,610,0.1,33.6,12.6,98.2,31.6,20.8,81.1,76,11.7,1.6,750,30.6,61,4.8,16,4.4,0.4,2,0.2,3.4,1.2,2.8,0.5,0.6,0,2.1,1.3,13,11.1,4.9
36.2,UT1143 - 22,1080000,4370,0.61,3530,0.49,646,0.11,37.7,14.8,97.4,33.6,20.2,81.7,87,11.1,3.1,707,32,61.1,5.7,17.7,4.3,0.3,1.6,0.5,2.5,0.6,1.8,0.4,3.1,0.3,3.1,0.8,13.6,10.9,4.1
36.2,UT1143 - 23,1134000,3560,0.5,3410,0.48,660,0.11,34.7,15.3,97.3,29.9,20.9,82.6,81.2,11.3,2.2,722,30.8,58.7,6,18.8,3.4,0.2,2,0.5,3,0.7,2.3,0.3,3.6,0.4,3.6,1.1,14.4,12.3,4.8
36.2,UT1143 - 24,1149000,3690,0.52,3420,0.48,675,0.11,36.8,16.3,99.4,32.3,20.3,82.6,82.9,10.6,2.2,713,30.3,59.2,5.6,18.1,3.1,0.3,2.7,0.6,2.3,0.6,1.6,0.4,2.7,0.4,3.6,1.2,13,11.6,4.1
36.2,UT1143 - 25,1165000,3640,0.51,3210,0.45,657,0.11,36,16,99.9,35.8,21.2,82.8,84.9,10.7,2.2,722,29.9,59.3,5.8,22.4,2.8,0.2,2.5,0.4,3.4,0.7,2.2,0.3,2.6,0.6,3.4,1,13,11.4,4.9
,AVE,1340708,3318,0.46,3233,0.45,663,0.11,37.2,15.4,98.2,32.2,20.1,81.9,82.6,10.8,2.3,730.7,30.1,58.8,5.8,19.3,3.3,0.2,2.5,0.4,2.8,0.7,2.2,0.4,2.7,0.4,3.2,1,13.9,11.2,4.6
