sName,Si29_CPS,Si29_CPS_Int2SE,Na_ppm_m23,Na2O wt%,Ca_ppm_m43,Ca_m43_wt%,Ca_ppm_m44,Ca_m44_wt%,Ti_ppm_m49,Ti wt%,Ga_ppm_m69,Ga_ppm_m71,Rb_ppm_m85,Sr_ppm_m88,Y_ppm_m89,Zr_ppm_m90,Zr_ppm_m91,Nb_ppm_m93,Cs_ppm_m133,Ba_ppm_m137,La_ppm_m139,Ce_ppm_m140,Pr_ppm_m141,Nd_ppm_m146,Sm_ppm_m147,Eu_ppm_m153,Gd_ppm_m157,Tb_ppm_m159,Dy_ppm_m163,Ho_ppm_m165,Er_ppm_m166,Tm_ppm_m169,Yb_ppm_m172,Lu_ppm_m175,Hf_ppm_m178,Ta_ppm_m181,Pb_ppm_m208,Th_ppm_m232,U_ppm_m238
Walcott - 10,3040000,140000,23760,3.20258795,3250,0.580046404,3230,0.576476887,1142,0.224687239,60.6,18.1,171.4,19.2,51.2,194.3,194.1,42.4,4.07,859,67,127,13.94,50.8,10.1,0.86,8.5,1.36,8.9,1.81,6.06,0.73,6.07,0.76,7.11,2.87,24.6,25.1,7.24
Walcott - 11,3020000,150000,24000,3.234937323,3560,0.635373907,3291,0.587363912,1137,0.22235196,61.3,18.9,175.6,19.61,51.3,195.9,196,43.7,3.95,861,67.6,131.6,14.27,50.1,9.2,0.89,8.2,1.34,8.41,1.71,5.33,0.81,5.21,0.741,6.63,2.71,24.9,24.5,7.17
Walcott - 12,2920000,210000,24490,3.30098396,3450,0.615741567,3350,0.597893985,1149,0.223686405,57.8,18.8,179,19.5,52.2,200.8,206,44.2,4.2,871,68.4,131.9,14.45,51.1,9.8,1.04,7.61,1.49,8.26,1.85,5.58,0.69,5.4,0.835,6.92,2.83,24.4,24,7.18
UA1 - 1,2770000,150000,28110,3.78892034,3830,0.683562377,3730,0.665714796,389,0.1,16.62,17.8,185.1,5.46,23.76,98.6,99.5,20.87,5.43,20.1,20.1,45,5.1,20.1,4.5,0.104,3.6,0.57,4.01,0.95,2.46,0.342,2.83,0.332,4.58,1.66,27.7,18.1,5.75
UA1 - 2,2700000,210000,28380,3.825313385,3750,0.669284312,3830,0.683562377,381,0.1,16,16.56,175.7,4.83,23.5,92.2,92.7,20.4,5.84,21.2,19.6,42.4,4.89,18.1,4.09,0.178,3.85,0.59,3.72,0.76,2.16,0.41,2.37,0.39,4.27,1.82,26.6,18.31,5.62
UA1 - 3,2810000,170000,28960,3.903491037,3340,0.596109227,3760,0.67106907,391,0.1,17.74,17.34,183.5,5.28,24.3,96.2,97.5,21.31,5.87,21.9,20.4,44.6,4.9,19.2,4.95,0.078,4.69,0.69,4.26,0.84,2.49,0.392,2.78,0.347,4.08,1.64,27.2,18.54,6.04
UA1 - 4,2740000,180000,29300,3.949319315,3860,0.688916652,3780,0.674638586,379,0.1,18.2,17.6,183.4,6.07,23.6,94.5,97.9,20.49,5.61,22.6,20.1,45.1,5.1,17.7,4.77,0.16,4.3,0.65,3.99,0.74,2.99,0.39,2.87,0.347,4.35,1.89,29.1,18.63,5.99
UA1 - 5,2630000,150000,30390,4.096239385,3880,0.692486168,3780,0.674638586,413,0.1,18.55,18.3,190.2,5.76,24.5,100.5,101.3,21.58,5.67,20.9,20.9,46.4,5.31,20.8,4.32,0.102,3.8,0.6,4.13,0.68,2.04,0.36,2.6,0.316,4.19,1.64,26.8,18.2,5.9
UA1 - 6,2590000,210000,29640,3.995147594,3810,0.679992861,3770,0.672853828,379,0.1,18.2,18.2,185.3,5.58,24,93.5,89.4,19.99,5.5,21,20.46,43.7,4.99,18.5,5.41,0.14,4.6,0.56,3.62,0.84,2.31,0.5,2.9,0.408,4.53,1.64,29.2,18.8,5.71
UA1 - 7,2590000,140000,30440,4.102978838,3610,0.644297698,3740,0.667499554,366,0.1,17.05,18.1,186.5,4.56,22.1,96,95.7,20.44,5.76,19.4,19.47,43.8,4.89,18.5,3.74,0.18,2.8,0.56,4.11,0.83,2.42,0.33,2.7,0.373,4.13,1.71,26.2,18.1,6.1
